anio_1;anio_2;anio_3;anio_4;anio_5;anio_6;anio_7;anio_8;anio_9;anio_10;anio_11;anio_12;anio_13;anio_14;anio_15;anio_16;anio_17;anio_18;anio_19;anio_20;anio_21;anio_22;anio_23;anio_24;areas
4.445;3.529;2.45;2.49;2.588;3.654;2.975;3.058;3.811;3.909;3.73;3.638;3.069;3.247;4.286;4.457;3.176;2.971;3.746;4.472;4.814;4.976;4.405;3.397;Statistics and Probability
4.445;3.529;2.45;2.49;2.588;3.654;2.975;3.058;3.811;3.909;3.73;3.638;3.069;3.247;4.286;4.457;3.176;2.971;3.746;4.472;4.814;4.976;4.405;3.397;Statistics, Probability and Uncertainty
0.271;0.339;0.239;0.407;0.481;0.321;0.469;0.281;0.308;0.286;0.404;0.694;0.765;0.601;0.321;0.288;0.355;0.397;0.285;0.387;0.296;0.395;0.308;0.44;Mathematics (miscellaneous)
0.418;0.412;0.309;0.392;0.669;0.552;0.448;0.441;0.316;0.488;0.555;0.472;0.561;0.544;0.652;0.45;0.548;0.447;0.54;0.313;0.49;0.494;0.51;0.729;Theoretical Computer Science
0.319;0.382;0.296;0.347;0.51;0.639;0.757;0.386;0.241;0.299;0.358;0.299;0.365;0.448;0.536;0.492;0.47;0.404;0.475;0.505;0.528;0.509;0.507;0.529;Statistics and Probability
0.319;0.382;0.296;0.347;0.51;0.639;0.757;0.386;0.241;0.299;0.358;0.299;0.365;0.448;0.536;0.492;0.47;0.404;0.475;0.505;0.528;0.509;0.507;0.529;Statistics, Probability and Uncertainty
0.929;0.545;0.53;0.702;0.589;0.582;0.688;0.653;1.137;0.674;0.55;0.724;0.643;0.945;1.054;0.989;0.903;0.8;0.751;0.789;0.645;0.735;0.652;0.64;Statistics and Probability
0.929;0.545;0.53;0.702;0.589;0.582;0.688;0.653;1.137;0.674;0.55;0.724;0.643;0.945;1.054;0.989;0.903;0.8;0.751;0.789;0.645;0.735;0.652;0.64;Statistics, Probability and Uncertainty
0.579;0.724;0.711;0.716;0.865;0.873;1.025;0.937;0.981;0.974;0.999;1.045;0.96;0.913;1.053;1.027;1.14;1.246;1.226;0.987;0.845;0.622;0.688;0.616;Applied Mathematics
0.579;0.724;0.711;0.716;0.865;0.873;1.025;0.937;0.981;0.974;0.999;1.045;0.96;0.913;1.053;1.027;1.14;1.246;1.226;0.987;0.845;0.622;0.688;0.616;Statistics and Probability
0.579;0.724;0.711;0.716;0.865;0.873;1.025;0.937;0.981;0.974;0.999;1.045;0.96;0.913;1.053;1.027;1.14;1.246;1.226;0.987;0.845;0.622;0.688;0.616;Statistics, Probability and Uncertainty
0.112;0.404;0.159;0.364;0.18;1.223;0.705;0.774;0.884;1.013;1.348;2.049;2.484;3.386;5.857;6.151;3.071;5.301;13.802;17.569;9.444;7.636;2.852;2.722;Software
0.112;0.404;0.159;0.364;0.18;1.223;0.705;0.774;0.884;1.013;1.348;2.049;2.484;3.386;5.857;6.151;3.071;5.301;13.802;17.569;9.444;7.636;2.852;2.722;Statistics and Probability
0.112;0.404;0.159;0.364;0.18;1.223;0.705;0.774;0.884;1.013;1.348;2.049;2.484;3.386;5.857;6.151;3.071;5.301;13.802;17.569;9.444;7.636;2.852;2.722;Statistics, Probability and Uncertainty
1.452;1.17;1.436;0.761;2.144;1.483;1.128;0.789;1.228;1.247;1.544;0.806;1.143;1.014;1.327;1.25;1.236;1.185;1.395;1.189;1.173;1.576;0.875;0.967;Applied Mathematics
1.452;1.17;1.436;0.761;2.144;1.483;1.128;0.789;1.228;1.247;1.544;0.806;1.143;1.014;1.327;1.25;1.236;1.185;1.395;1.189;1.173;1.576;0.875;0.967;Statistics and Probability
1.452;1.17;1.436;0.761;2.144;1.483;1.128;0.789;1.228;1.247;1.544;0.806;1.143;1.014;1.327;1.25;1.236;1.185;1.395;1.189;1.173;1.576;0.875;0.967;Statistics, Probability and Uncertainty
0.206;0.234;0.31;0.361;0.29;0.336;0.364;0.267;0.456;0.518;0.459;0.722;0.577;0.589;0.569;0.549;0.671;0.562;0.613;0.526;0.452;0.541;0.639;0.755;Computer Science (miscellaneous)
0.206;0.234;0.31;0.361;0.29;0.336;0.364;0.267;0.456;0.518;0.459;0.722;0.577;0.589;0.569;0.549;0.671;0.562;0.613;0.526;0.452;0.541;0.639;0.755;Modeling and Simulation
0.206;0.234;0.31;0.361;0.29;0.336;0.364;0.267;0.456;0.518;0.459;0.722;0.577;0.589;0.569;0.549;0.671;0.562;0.613;0.526;0.452;0.541;0.639;0.755;Theoretical Computer Science
0.206;0.234;0.31;0.361;0.29;0.336;0.364;0.267;0.456;0.518;0.459;0.722;0.577;0.589;0.569;0.549;0.671;0.562;0.613;0.526;0.452;0.541;0.639;0.755;Applied Mathematics
0.206;0.234;0.31;0.361;0.29;0.336;0.364;0.267;0.456;0.518;0.459;0.722;0.577;0.589;0.569;0.549;0.671;0.562;0.613;0.526;0.452;0.541;0.639;0.755;Numerical Analysis
0.16;0.286;0.326;0.117;0.252;0.1;0.18;0.128;0.168;0.162;0.331;0.206;0.256;0.444;0.554;0.309;0.294;0.282;0.234;0.232;0.264;0.217;0.188;0.389;Control and Systems Engineering
0.16;0.286;0.326;0.117;0.252;0.1;0.18;0.128;0.168;0.162;0.331;0.206;0.256;0.444;0.554;0.309;0.294;0.282;0.234;0.232;0.264;0.217;0.188;0.389;Software
0.16;0.286;0.326;0.117;0.252;0.1;0.18;0.128;0.168;0.162;0.331;0.206;0.256;0.444;0.554;0.309;0.294;0.282;0.234;0.232;0.264;0.217;0.188;0.389;Computer Science Applications
0.16;0.286;0.326;0.117;0.252;0.1;0.18;0.128;0.168;0.162;0.331;0.206;0.256;0.444;0.554;0.309;0.294;0.282;0.234;0.232;0.264;0.217;0.188;0.389;Modeling and Simulation
0.2;0.236;0.215;0.201;0.221;0.236;0.129;0.148;0.163;0.192;0.177;0.229;0.265;0.221;0.229;0.242;0.325;0.276;0.234;0.269;0.269;0.219;0.201;0.198;Engineering (miscellaneous)
0.2;0.236;0.215;0.201;0.221;0.236;0.129;0.148;0.163;0.192;0.177;0.229;0.265;0.221;0.229;0.242;0.325;0.276;0.234;0.269;0.269;0.219;0.201;0.198;Applied Mathematics
