anio_1;anio_2;anio_3;anio_4;anio_5;anio_6;anio_7;anio_8;anio_9;anio_10;anio_11;anio_12;anio_13;anio_14;anio_15;anio_16;anio_17;anio_18;anio_19;anio_20;anio_21;anio_22;anio_23;anio_24
4.357;4.011;3.9;2.385;2.62;3.046;2.668;2.643;3.02;3.197;3.572;3.933;3.254;3.409;4.304;3.686;2.85;2.803;3.485;4.046;2.8;3.307;3.172;3.566
0.326;0.288;0.444;0.45;0.497;0.401;0.507;0.319;0.373;0.398;0.367;0.394;0.387;0.523;0.566;0.676;0.662;0.727;0.733;0.724;0.801;0.772;0.996;1.106
0.718;0.851;0.346;0.439;0.344;0.537;0.611;0.782;0.782;0.764;0.658;0.672;0.616;0.665;0.707;0.715;0.497;0.814;0.765;1.113;0.843;0.621;0.782;0.711
0.595;0.566;0.611;1.15;0.639;0.766;0.992;0.74;0.791;0.641;0.708;0.932;0.794;0.544;0.613;0.398;0.58;0.55;0.406;0.592;0.361;0.406;0.357;0.557
2.03;1.971;2.305;3.014;3.248;3.525;3.141;2.902;3.056;3.129;3.111;3.661;4.118;5.275;4.341;4.171;4.97;5.21;6.14;4.549;3.567;3.599;3.4;2.94
1.268;0.763;0.665;0.782;0.933;1.2;1.35;1.517;1.528;1.668;1.583;1.391;1.313;1.247;1.25;1.096;1.056;0.968;1.083;0.949;1.201;1.139;1.073;0.921
1.876;0.994;1.026;0.801;1.222;0.97;1.636;1.134;1.055;0.803;0.94;1.071;1.417;1.307;0.802;1.409;0.981;1.07;0.641;0.916;0.964;1.151;1.114;0.86
0.794;1.429;1.246;1.162;0.915;1.085;1.157;0.928;1.179;1.685;0.789;0.902;0.882;0.462;0.545;0.721;0.975;0.915;0.809;0.457;0.745;0.426;0.685;0.691
0.286;0.22;0.222;0.263;0.232;0.206;0.293;0.244;0.295;0.293;0.348;0.512;0.583;0.486;0.373;0.336;0.386;0.439;0.337;0.421;0.498;0.689;0.865;0.701
0.322;0.371;0.332;0.329;0.407;0.835;1.044;1.061;1.178;0.977;0.923;0.884;0.927;0.871;1.063;1.249;1.53;0.591;1.175;0.494;0.571;0.936;0.59;0.762
1.638;0.855;0.565;0.403;0.636;1.748;1.228;1.261;1.434;1.333;1.211;0.785;0.864;0.72;1.08;0.75;0.989;0.673;0.917;0.88;1.206;1.061;0.911;0.977
1.56;1.631;1.471;1.099;1.313;1.425;1.667;1.354;1.436;1.647;2.044;2.136;2.237;1.983;2.178;2.462;1.982;2.038;2.375;2.047;1.822;1.996;1.371;1.471
1.378;2.216;1.519;1.123;0.121;4.03;4.082;2.838;4.032;3.985;4.64;1.037;4.538;1.545;0.517;1.086;1.684;7.586;1.234;1.212;0.734;0.616;0.788;0.31
0.503;0.328;0.394;0.418;0.395;0.545;1.001;0.396;0.399;0.524;0.544;0.583;0.461;0.529;0.516;0.649;0.539;0.621;0.532;0.567;0.586;0.605;0.535;0.664
